review,category-sentiment,category,sentiment,
"itu kamarnya kotor minta ampun, banyak sarang laba-laba & kasurnya sudah lama tidak diganti sprey-nya & nyamuk banyak sekali, bikin gatel, untungnya cuma semalam hanya untuk transit doang, yang berkesan cuma AC dingin, saluran tv bagus, kamar mandi lumayan air panas & dekat bandara, malam sampai dini hari suara bising dari tamu sebelah.",ac_P1-pos,ac_P1,pos,
"itu kamarnya kotor minta ampun, banyak sarang laba-laba & kasurnya sudah lama tidak diganti sprey-nya & nyamuk banyak sekali, bikin gatel, untungnya cuma semalam hanya untuk transit doang, yang berkesan cuma AC dingin, saluran tv bagus, kamar mandi lumayan air panas & dekat bandara, malam sampai dini hari suara bising dari tamu sebelah.",tv_P1-pos,tv_P1,pos,
"itu kamarnya kotor minta ampun, banyak sarang laba-laba & kasurnya sudah lama tidak diganti sprey-nya & nyamuk banyak sekali, bikin gatel, untungnya cuma semalam hanya untuk transit doang, yang berkesan cuma AC dingin, saluran tv bagus, kamar mandi lumayan air panas & dekat bandara, malam sampai dini hari suara bising dari tamu sebelah.",air_panas_P1-pos,air_panas_P1,pos,
"Kamarnya nyaman.. Ac dingin kamar mandi shower ada air panasnya, bersih, tv lcd, ada snack box nya juga.. hanya saja bawah tmpat tdur tdk ikut di sapu jdi ada debu nya.. tpi overall puas dan nyaman, staff ramah bgt.. ",ac_P1-pos,ac_P1,pos,
"Kamarnya nyaman.. Ac dingin kamar mandi shower ada air panasnya, bersih, tv lcd, ada snack box nya juga.. hanya saja bawah tmpat tdur tdk ikut di sapu jdi ada debu nya.. tpi overall puas dan nyaman, staff ramah bgt.. ",air_panas_P1-pos,air_panas_P1,pos,
"Kamarnya nyaman.. Ac dingin kamar mandi shower ada air panasnya, bersih, tv lcd, ada snack box nya juga.. hanya saja bawah tmpat tdur tdk ikut di sapu jdi ada debu nya.. tpi overall puas dan nyaman, staff ramah bgt.. ",tv_P1-pos,tv_P1,pos,
"Kamarnya nyaman.. Ac dingin kamar mandi shower ada air panasnya, bersih, tv lcd, ada snack box nya juga.. hanya saja bawah tmpat tdur tdk ikut di sapu jdi ada debu nya.. tpi overall puas dan nyaman, staff ramah bgt.. ",linen_P1-pos,linen_P1,pos,
"Kamarnya nyaman.. Ac dingin kamar mandi shower ada air panasnya, bersih, tv lcd, ada snack box nya juga.. hanya saja bawah tmpat tdur tdk ikut di sapu jdi ada debu nya.. tpi overall puas dan nyaman, staff ramah bgt.. ",kebersihan-neg,kebersihan,neg,
"Kamarnya nyaman.. Ac dingin kamar mandi shower ada air panasnya, bersih, tv lcd, ada snack box nya juga.. hanya saja bawah tmpat tdur tdk ikut di sapu jdi ada debu nya.. tpi overall puas dan nyaman, staff ramah bgt.. ",general-pos,general,pos,
"Kamarnya nyaman.. Ac dingin kamar mandi shower ada air panasnya, bersih, tv lcd, ada snack box nya juga.. hanya saja bawah tmpat tdur tdk ikut di sapu jdi ada debu nya.. tpi overall puas dan nyaman, staff ramah bgt.. ",service-pos,service,pos,
Minus : Receptionis yang laki2 kurang ramah.,service-neg,service,neg,
kamar bau apek,bau_P1-neg,bau_P1,neg,
airnya sempet mati.. pelayanan kurang profesional,service-neg,service,neg,
"sangat bagus, tapi airnya bau",bau_P1-neg,bau_P1,neg,
"Untuk kebersihan sudah lumayan, AC lumayan dingin tidak seperti pertama kali saya book kamar disini. Sprei juga baru dan bersih, mungkin cuma selimutnya saja yg perlu diganti karna sudah agak buras. Untuk barang dikamar seperti meja atau kelengkapan lain masih agak berdebu dan nampak seperti hotel tua karna perabotnya kelihatan rapuh.",kebersihan-pos,kebersihan,pos,
"Untuk kebersihan sudah lumayan, AC lumayan dingin tidak seperti pertama kali saya book kamar disini. Sprei juga baru dan bersih, mungkin cuma selimutnya saja yg perlu diganti karna sudah agak buras. Untuk barang dikamar seperti meja atau kelengkapan lain masih agak berdebu dan nampak seperti hotel tua karna perabotnya kelihatan rapuh.",ac_P1-pos,ac_P1,pos,
"Untuk kebersihan sudah lumayan, AC lumayan dingin tidak seperti pertama kali saya book kamar disini. Sprei juga baru dan bersih, mungkin cuma selimutnya saja yg perlu diganti karna sudah agak buras. Untuk barang dikamar seperti meja atau kelengkapan lain masih agak berdebu dan nampak seperti hotel tua karna perabotnya kelihatan rapuh.",linen_P1-neg,linen_P1,neg,
kamar tidak sesuai dengan kamar. gak ada bantal guling airy dan peralatan mandi airy room,linen_P1-neg,linen_P1,neg,
"Hari terkahir menginap sedikit mengecewakan , air kotor kehitaman pada hari minggu",kebersihan-neg,kebersihan,neg,
kamarnya kurang maintenance. paling baik kamar mandi dibersihkan lebih sering. kamar mandi adalah bagian yang penting untuk pelanggan. kebersihan selimut bed sheet dan handuk juga perlu diperhatikan lebih jauh lagi.,kebersihan-neg,kebersihan,neg,
kamarnya kurang maintenance. paling baik kamar mandi dibersihkan lebih sering. kamar mandi adalah bagian yang penting untuk pelanggan. kebersihan selimut bed sheet dan handuk juga perlu diperhatikan lebih jauh lagi.,linen_P1-neg,linen_P1,neg,
"Fasilitas lengkap, untuk kebersihan tempat tidur (bantal, selimut dan sprei) tolong diperhatikan. Karena lumayan kotor.",linen_P1-neg,linen_P1,neg,
"kamar oke, tapii untuk ac kurang dingin breakfast nya sederhana tapi nikmat blower kamar mandi gag berfungsi.. overall semua okeyy lahh",ac_P1-neg,ac_P1,neg,
"kamar oke, tapii untuk ac kurang dingin breakfast nya sederhana tapi nikmat blower kamar mandi gag berfungsi.. overall semua okeyy lahh",sunrise_meal_P1-pos,sunrise_meal_P1,pos,
"kamar oke, tapii untuk ac kurang dingin breakfast nya sederhana tapi nikmat blower kamar mandi gag berfungsi.. overall semua okeyy lahh",general-pos,general,pos,
tapi sayang ac  ya tidak dingin tp untuk keseluruhan sih bagus 👍🏻,ac_P1-neg,ac_P1,neg,
tapi sayang ac  ya tidak dingin tp untuk keseluruhan sih bagus 👍🏻,general-pos,general,pos,
lumayan murah. AC tidak dingin. kamar mandi kurang bersih. lingkungan sekitar kamar kurang bersih. ,ac_P1-neg,ac_P1,neg,
lumayan murah. AC tidak dingin. kamar mandi kurang bersih. lingkungan sekitar kamar kurang bersih. ,kebersihan-neg,kebersihan,neg,
"perlu ditambah pengharum di lemarinya. overall kamarnya bersih banger, nyaman, fasilitas lengkap, ac dingin.  kalau bisa sediakan line telepon untuk pemesanan taksi, karena letaknya cukup jauh dari jalan raya. ",bau_P1-neg,bau_P1,neg,
"perlu ditambah pengharum di lemarinya. overall kamarnya bersih banger, nyaman, fasilitas lengkap, ac dingin.  kalau bisa sediakan line telepon untuk pemesanan taksi, karena letaknya cukup jauh dari jalan raya. ",kebersihan-pos,kebersihan,pos,
"perlu ditambah pengharum di lemarinya. overall kamarnya bersih banger, nyaman, fasilitas lengkap, ac dingin.  kalau bisa sediakan line telepon untuk pemesanan taksi, karena letaknya cukup jauh dari jalan raya. ",ac_P1-pos,ac_P1,pos,
"Oke saja, tapi Ac nya berisik banget dah.",ac_P1-neg,ac_P1,neg,
WiFi nya kurang memuaskan :)) ,wifi_p1-neg,wifi_p1,neg,
"Bangunan kos-kosan, kamar bersih, kamar mandi kotor. Suasana sepi enak buat istirahat. Kesulitan mau",kebersihan-pos,kebersihan,pos,
ac nya tdk dingin,ac_P1-neg,ac_P1,neg,
nyaman enak tp wifi nya g lancar.....,wifi_p1-neg,wifi_p1,neg,
AC kurang optimal atau dingin'y kurang,ac_P1-neg,ac_P1,neg,
bagus. tapi ga ada sinyal di dalam kamar. wifi juga ga sampek. tapi nyaman. pelayanan cukup,wifi_p1-neg,wifi_p1,neg,
bagus. tapi ga ada sinyal di dalam kamar. wifi juga ga sampek. tapi nyaman. pelayanan cukup,service-pos,service,pos,
"fasilitas kotor,ac tidak dingin,pintu kmr mandi tidak bsa d tu2p,kulkas tidak bisa di gunakan,sprei ",kebersihan-neg,kebersihan,neg,
"fasilitas kotor,ac tidak dingin,pintu kmr mandi tidak bsa d tu2p,kulkas tidak bisa di gunakan,sprei ",ac_P1-neg,ac_P1,neg,
"kurang bersih, banyak serangga. ",kebersihan-neg,kebersihan,neg,
"bersih dan rapi,, cuma gak dpt snack,, biasanya dapat snack di kamar",kebersihan-pos,kebersihan,pos,
"bersih dan rapi,, cuma gak dpt snack,, biasanya dapat snack di kamar",linen_P1-neg,linen_P1,neg,
penjaganya kurang ramah ,service-neg,service,neg,
kamar sangat kotor kamar mandi kotor berdebu banyak bgt baru 10 menit di kamar langsung pindah hotel,kebersihan-neg,kebersihan,neg,
"Pelayanan ramah, kamar nya dingin, cuma air mandinya kurang panas,",service-pos,service,pos,
"Pelayanan ramah, kamar nya dingin, cuma air mandinya kurang panas,",ac_P1-pos,ac_P1,pos,
"Pelayanan ramah, kamar nya dingin, cuma air mandinya kurang panas,",air_panas_P1-neg,air_panas_P1,neg,
Wastafel kamar mandi sering mampet. Peralatan mandi cuman dpat 1 set. Untuk cleaning room nya cuman dirapiin tdk diganti badcovernya,linen_P1-neg,linen_P1,neg,
kamar mandi kurang baik n bau rokok,bau_P1-neg,bau_P1,neg,
"Kamar mandi kurang bersih, kamar tidak terlalu nyaman",kebersihan-neg,kebersihan,neg,
"Lumayan untuk bacpakeran,  harganya terjangkau banget. Tempatnya bersih,  cuma spreinya agak berdebu",kebersihan-pos,kebersihan,pos,
"Lumayan untuk bacpakeran,  harganya terjangkau banget. Tempatnya bersih,  cuma spreinya agak berdebu",linen_P1-neg,linen_P1,neg,
"Kamar masih ada bau debu. Kamar mandi showernya mampet, ga ada air panas jg :’)",bau_P1-neg,bau_P1,neg,
"Kamar masih ada bau debu. Kamar mandi showernya mampet, ga ada air panas jg :’)",air_panas_P1-neg,air_panas_P1,neg,
"Pelayanan ramah, namun air panas shower perlu diperbaiki",service-pos,service,pos,
"Pelayanan ramah, namun air panas shower perlu diperbaiki",air_panas_P1-neg,air_panas_P1,neg,
"memuaskan, sendok sm garpu nya kurang bersih",linen_P1-neg,linen_P1,neg,
"Kamar bersih,  rapih,  tapi kamar mandi suka bau tiba tiba.  Semoga kedepannya lebih baik.  Over all Oke ",kebersihan-pos,kebersihan,pos,
"Kamar bersih,  rapih,  tapi kamar mandi suka bau tiba tiba.  Semoga kedepannya lebih baik.  Over all Oke ",bau_P1-neg,bau_P1,neg,
"Kamar bersih,  rapih,  tapi kamar mandi suka bau tiba tiba.  Semoga kedepannya lebih baik.  Over all Oke ",general-pos,general,pos,
ACnya kurang dingin,ac_P1-neg,ac_P1,neg,
"sesuai harga, cukuplah, yg penting ramah, fyi : air panasnya berfungsi setelah 5mnt+ air keluar.",service-pos,service,pos,
"sesuai harga, cukuplah, yg penting ramah, fyi : air panasnya berfungsi setelah 5mnt+ air keluar.",air_panas_P1-neg,air_panas_P1,neg,
"untuk jet washer airnya beraroma ya, kalo bs dibenahi supply air untuk jet washer krn sangat nenyengat saat di gunakan, agak mengganggu kenyamanan dgn aroma yg ditumbulkan. untuk yg lain saya merasa puas...trm kasih.",bau_P1-neg,bau_P1,neg,
"untuk jet washer airnya beraroma ya, kalo bs dibenahi supply air untuk jet washer krn sangat nenyengat saat di gunakan, agak mengganggu kenyamanan dgn aroma yg ditumbulkan. untuk yg lain saya merasa puas...trm kasih.",general-pos,general,pos,
Biasanya aku dpt snack d room ini gada sama sekali Ac nya bau cuka (gatau kaya cuka tapi aneh banget,linen_P1-neg,linen_P1,neg,
Biasanya aku dpt snack d room ini gada sama sekali Ac nya bau cuka (gatau kaya cuka tapi aneh banget,ac_P1-neg,ac_P1,neg,
"kamar nya terbilang bagus tapi sayang perawatan nya kurang, ac nya tidak dingin, disediakan kompor tapi tidak ada gas dan perlatan memasak dan tdk ada papan reklame airy di depan yg buat saya bingung cari lokasi nya sampai mutar2. terimakasih airy..",ac_P1-neg,ac_P1,neg,
"kamar nya bersih, pelayan nya juga baik, akses nya gampang. kamar  mandi nya oke, cuma air panas nya mati, so lumayan lah. ",kebersihan-pos,kebersihan,pos,
"kamar nya bersih, pelayan nya juga baik, akses nya gampang. kamar  mandi nya oke, cuma air panas nya mati, so lumayan lah. ",service-pos,service,pos,
"kamar nya bersih, pelayan nya juga baik, akses nya gampang. kamar  mandi nya oke, cuma air panas nya mati, so lumayan lah. ",air_panas_P1-neg,air_panas_P1,neg,
wifi buruk suka down,wifi_p1-neg,wifi_p1,neg,
wifi y palsu. air panas y rusak.,wifi_p1-neg,wifi_p1,neg,
wifi y palsu. air panas y rusak.,air_panas_P1-neg,air_panas_P1,neg,
"Penginapan tidak sesuai dengan foto, bangunan kamar tampak tua, shower kamar mandi yg rusak, lantai kotor, debu ada dimana-mana, jadi saya tidak menginap disini. Tolong diperhatikan lagi.",kebersihan-neg,kebersihan,neg,
tempatnya nyaman... cm customer servisnya kurang ramah... tdk ada senyum sapa salam ... flat...,service-neg,service,neg,
"baik : keramahan pelayanan, desain bangunan yg nyaman lemah : kebersihan kamar. lantai terasa lengket. ac lambat mencapai suhu yg diinginkan",service-pos,service,pos,
"baik : keramahan pelayanan, desain bangunan yg nyaman lemah : kebersihan kamar. lantai terasa lengket. ac lambat mencapai suhu yg diinginkan",kebersihan-neg,kebersihan,neg,
"baik : keramahan pelayanan, desain bangunan yg nyaman lemah : kebersihan kamar. lantai terasa lengket. ac lambat mencapai suhu yg diinginkan",ac_P1-neg,ac_P1,neg,
"Standar,bangunan tua.. Namun saklar listrik sudah tidak kuat menancap pada dinding, ac dingin memerlukan waktu lama, lift hanya sampai Lt 4 padahal kamar ada di Lt 5",ac_P1-neg,ac_P1,neg,
kamar bagus rapi bersih nyaman lah pokoknya .. cuma air panas agak lama keluarnya . overall bagus lah ..,kebersihan-pos,kebersihan,pos,
kamar bagus rapi bersih nyaman lah pokoknya .. cuma air panas agak lama keluarnya . overall bagus lah ..,air_panas_P1-neg,air_panas_P1,neg,
kamar bagus rapi bersih nyaman lah pokoknya .. cuma air panas agak lama keluarnya . overall bagus lah ..,general-pos,general,pos,
"kotor, tdk ada pegawai kebersihan hy ada recepsionist n security, tdk ada handuk",kebersihan-neg,kebersihan,neg,
"kotor, tdk ada pegawai kebersihan hy ada recepsionist n security, tdk ada handuk",linen_P1-neg,linen_P1,neg,
"kebersihannya kurang, saat masuk banyak hewanya, terutama di kamar mandi. kemudian tempat sampah ada 2 belom dibersihkan, tissue kamar mandi juga kotor belom diganti.",kebersihan-neg,kebersihan,neg,
saya dri jm 9 pagi sudah di usir untuk chekout. dengan alasan ada tamu lagi.,service-neg,service,neg,
hotel seperti rumah hantu gelap sepi dan tidak ada reseptionisnya,service-neg,service,neg,
"ad mins dan plusnya... minspelayanannya lamban, bedcovernya ad titik titik noda/gak bersih, di janjiin bakal di anterin snack tp smpe chekout gak ada.  plus sarapannya enak, fasilitas lengkap.",service-neg,service,neg,
"ad mins dan plusnya... minspelayanannya lamban, bedcovernya ad titik titik noda/gak bersih, di janjiin bakal di anterin snack tp smpe chekout gak ada.  plus sarapannya enak, fasilitas lengkap.",kebersihan-neg,kebersihan,neg,
"ad mins dan plusnya... minspelayanannya lamban, bedcovernya ad titik titik noda/gak bersih, di janjiin bakal di anterin snack tp smpe chekout gak ada.  plus sarapannya enak, fasilitas lengkap.",linen_P1-neg,linen_P1,neg,
"ad mins dan plusnya... minspelayanannya lamban, bedcovernya ad titik titik noda/gak bersih, di janjiin bakal di anterin snack tp smpe chekout gak ada.  plus sarapannya enak, fasilitas lengkap.",sunrise_meal_P1-pos,sunrise_meal_P1,pos,
"waktu check in saya harus menunggu selama hampir 1 jam, dikamar ac saya tidak dingin.. ketika dikamar tiba2 kamar saya mau dibuka dari luar oleh karyawan hotel yg ternyata double booking, kesalahan dari hotel",service-neg,service,neg,
"waktu check in saya harus menunggu selama hampir 1 jam, dikamar ac saya tidak dingin.. ketika dikamar tiba2 kamar saya mau dibuka dari luar oleh karyawan hotel yg ternyata double booking, kesalahan dari hotel",ac_P1-neg,ac_P1,neg,
Wifi tidak tertangkap,wifi_p1-neg,wifi_p1,neg,
"kamar bersih, nyaman. perlu ditingkatkan layanan air panas untuk mandi. dan jika kamar nya dengan view akan lebih baik.",kebersihan-pos,kebersihan,pos,
"kamar bersih, nyaman. perlu ditingkatkan layanan air panas untuk mandi. dan jika kamar nya dengan view akan lebih baik.",air_panas_P1-neg,air_panas_P1,neg,
"Mengecewakan. Air panas cuma bisa sebentar aja. Setelah itu tidak bisa. Gelap, pencahayaan kurang...",air_panas_P1-neg,air_panas_P1,neg,
"wifi gratis cuma di lobby, kamar mandi ada serangganya, kamar bau rokok, channel tv lengkap, kamar cukup bersih, sandal hotel putus",wifi_p1-neg,wifi_p1,neg,
"wifi gratis cuma di lobby, kamar mandi ada serangganya, kamar bau rokok, channel tv lengkap, kamar cukup bersih, sandal hotel putus",bau_P1-neg,bau_P1,neg,
"wifi gratis cuma di lobby, kamar mandi ada serangganya, kamar bau rokok, channel tv lengkap, kamar cukup bersih, sandal hotel putus",tv_P1-pos,tv_P1,pos,
"wifi gratis cuma di lobby, kamar mandi ada serangganya, kamar bau rokok, channel tv lengkap, kamar cukup bersih, sandal hotel putus",kebersihan-pos,kebersihan,pos,
"Pintu Kamar mandi tidak bisa ditutup, Kamar mandi berbau selokan mohon diberi Kapur Barus, Peneranga",bau_P1-neg,bau_P1,neg,
hotelnya bagus pelayanannya baek tapi kurangnya cuma satu adalah tdk ada WIFI di hotel dan di kamar hotel,service-pos,service,pos,
hotelnya bagus pelayanannya baek tapi kurangnya cuma satu adalah tdk ada WIFI di hotel dan di kamar hotel,wifi_p1-neg,wifi_p1,neg,
"Pelayanan ok, fasilitas big No, Dikamar tidak ada keset, flapon kaya rembesan air gitu udh lumutan, Agak bau apek, AC kurang dingin, pembuangan air kamar mandi agak mampet, gak rekomend lah pokok ya",service-pos,service,pos,
"Pelayanan ok, fasilitas big No, Dikamar tidak ada keset, flapon kaya rembesan air gitu udh lumutan, Agak bau apek, AC kurang dingin, pembuangan air kamar mandi agak mampet, gak rekomend lah pokok ya",kebersihan-neg,kebersihan,neg,
"Pelayanan ok, fasilitas big No, Dikamar tidak ada keset, flapon kaya rembesan air gitu udh lumutan, Agak bau apek, AC kurang dingin, pembuangan air kamar mandi agak mampet, gak rekomend lah pokok ya",bau_P1-neg,bau_P1,neg,
"Pelayanan ok, fasilitas big No, Dikamar tidak ada keset, flapon kaya rembesan air gitu udh lumutan, Agak bau apek, AC kurang dingin, pembuangan air kamar mandi agak mampet, gak rekomend lah pokok ya",ac_P1-neg,ac_P1,neg,
nyaman sich tp toilet kurang bersih aja.... ,kebersihan-neg,kebersihan,neg,
"Kecewa tidak ada air panas atau hot shower yg dijanjikan Airyrooms, tidak bisa mandi malam. Tidak ada pemberitahuan atau permintaan maaf sebelumnya baik dari resepsionis maupun housekeeping bahwa water heater sedang rusak. Skor buruk deh. Kecewa",air_panas_P1-neg,air_panas_P1,neg,
"Kecewa tidak ada air panas atau hot shower yg dijanjikan Airyrooms, tidak bisa mandi malam. Tidak ada pemberitahuan atau permintaan maaf sebelumnya baik dari resepsionis maupun housekeeping bahwa water heater sedang rusak. Skor buruk deh. Kecewa",service-neg,service,neg,
ok hanya ac kurang dingin,ac_P1-neg,ac_P1,neg,
"thanks..atas keramahan nya,kebersihn tlg di tingkatkan. penghuni kamar banyak yg sngt berisik sekali",service-pos,service,pos,
"thanks..atas keramahan nya,kebersihn tlg di tingkatkan. penghuni kamar banyak yg sngt berisik sekali",kebersihan-neg,kebersihan,neg,
Kebersihan kamar (lantai) perlu ditingkatkan lagi,kebersihan-neg,kebersihan,neg,
"Hotel Tua, dapat kamar yang kuncinya rusak, kemudian dipindah ke kamar lain, ketel air rusak dan bau, kamar mandi tergenang air ",linen_P1-neg,linen_P1,neg,
"Hotel Tua, dapat kamar yang kuncinya rusak, kemudian dipindah ke kamar lain, ketel air rusak dan bau, kamar mandi tergenang air ",kebersihan-neg,kebersihan,neg,
Kamar bau shower rusak washtafle rusak pengap kotor,bau_P1-neg,bau_P1,neg,
Kamar bau shower rusak washtafle rusak pengap kotor,kebersihan-neg,kebersihan,neg,
Tidak nyaman kamar mandi bau ngga ada gantungan baju dan lingkunganya  berisik.,bau_P1-neg,bau_P1,neg,
Tidak nyaman kamar mandi bau ngga ada gantungan baju dan lingkunganya  berisik.,linen_P1-neg,linen_P1,neg,
"langit di kamar masi ada sarang laba2,shower kurang bagus.",kebersihan-neg,kebersihan,neg,
kebersihan selimut dan kamar masih perlu diperhatikan.. tetapi overall not bad..,kebersihan-neg,kebersihan,neg,
kebersihan selimut dan kamar masih perlu diperhatikan.. tetapi overall not bad..,general-pos,general,pos,
"kurang puas sama pelayanan, harus deposit, ribet",service-neg,service,neg,
ac nya gak dingin... cuma brasa dry tanpa cool,ac_P1-neg,ac_P1,neg,
"Lantai kamar kaya ada lengket2nya, mungkin karena belum dipel ",kebersihan-neg,kebersihan,neg,
kamar tidak terang ac kurang dingin kamar mandi trlalu kecil wifi rusak lingkungan sekitar hotel asyik sih ada sarapan enak di Dkt Hotel namanya Nasi Uduk Bu Maya Disebelah Alfamart,ac_P1-neg,ac_P1,neg,
kamar tidak terang ac kurang dingin kamar mandi trlalu kecil wifi rusak lingkungan sekitar hotel asyik sih ada sarapan enak di Dkt Hotel namanya Nasi Uduk Bu Maya Disebelah Alfamart,wifi_p1-neg,wifi_p1,neg,
"Lantai dan tempat tidur kurang bersih, akses agak sulit, lainnya sudah sangat baik.",kebersihan-neg,kebersihan,neg,
"Lantai dan tempat tidur kurang bersih, akses agak sulit, lainnya sudah sangat baik.",general-pos,general,pos,
"(-) Kamar mandi kurang bersih berkerak. Air bbrp kali mati, utamanya pas subuh.Tidak disediakan keset. Air panas unt minum ready baru jam 7. Ruangan terlalu sempit, tdk cukup space unt sholat. Sinyal hp di kamar mati suri (+) lokasi bagus, menyewakan motor, wifi  kencang",kebersihan-neg,kebersihan,neg,
"(-) Kamar mandi kurang bersih berkerak. Air bbrp kali mati, utamanya pas subuh.Tidak disediakan keset. Air panas unt minum ready baru jam 7. Ruangan terlalu sempit, tdk cukup space unt sholat. Sinyal hp di kamar mati suri (+) lokasi bagus, menyewakan motor, wifi  kencang",linen_P1-neg,linen_P1,neg,
"(-) Kamar mandi kurang bersih berkerak. Air bbrp kali mati, utamanya pas subuh.Tidak disediakan keset. Air panas unt minum ready baru jam 7. Ruangan terlalu sempit, tdk cukup space unt sholat. Sinyal hp di kamar mati suri (+) lokasi bagus, menyewakan motor, wifi  kencang",wifi_P1-pos,wifi_P1,pos,
"sebenarnya kamar baik tp kurang profesional, di kasih tau sarapan nasi goreng, mnta di anter jam 8.30 ehh dtg jam 9 itu pun d telpon dl dan yg dtg malah mie muah telor. hmmmmmm .",service-neg,service,neg,
"AC dilantai bawah tidak nyala terpaksa pindah ke lantai 4, nyala sih tp tidak begitu dingin",ac_P1-neg,ac_P1,neg,
"Toilet flash-nya bocor, air panas untuk showernya harus menunggu lama, bed nya juga kurang bersih, d",air_panas_P1-neg,air_panas_P1,neg,
"chek in nya lama skali menunggu nya,shower nya gk keluar air panas.. tp overall good lha lokasi dan tmpt makan.. ",service-neg,service,neg,
"chek in nya lama skali menunggu nya,shower nya gk keluar air panas.. tp overall good lha lokasi dan tmpt makan.. ",air_panas_P1-neg,air_panas_P1,neg,
"chek in nya lama skali menunggu nya,shower nya gk keluar air panas.. tp overall good lha lokasi dan tmpt makan.. ",general-pos,general,pos,
"ac kurang dingin, mungkin karena udh tua kalibya.. efeknya kamar menjadi bau tidak sedap.. selebihnya sih ok",ac_P1-neg,ac_P1,neg,
"ac kurang dingin, mungkin karena udh tua kalibya.. efeknya kamar menjadi bau tidak sedap.. selebihnya sih ok",bau_P1-neg,bau_P1,neg,
"ac kurang dingin, mungkin karena udh tua kalibya.. efeknya kamar menjadi bau tidak sedap.. selebihnya sih ok",general-pos,general,pos,
"kamar 617 panas. hari pertama minta dibenarkan. hari kedua masih panas. komplain ke resepsionis tidak direspon oleh tim maintenance. Semalaman air conditioner tidak menyala, terpaksa buka jndela",ac_P1-neg,ac_P1,neg,
"kamar 617 panas. hari pertama minta dibenarkan. hari kedua masih panas. komplain ke resepsionis tidak direspon oleh tim maintenance. Semalaman air conditioner tidak menyala, terpaksa buka jndela",service-neg,service,neg,
"tidak ada yg berkesan. siaran TVnya tidak bagus, wifi mengalami ganguan, ",tv_P1-neg,tv_P1,neg,
"tidak ada yg berkesan. siaran TVnya tidak bagus, wifi mengalami ganguan, ",wifi_p1-neg,wifi_p1,neg,
kebersihan kamar kurang diperhatikan penerangan di kamar kurang,kebersihan-neg,kebersihan,neg,
pelayan nya kurang memuaskan hanya di tnya air panas saja muka nya merengut dan secara terpaksa untuk membantu,service-neg,service,neg,
"Cukup syekali. Selimut masih bau, bikin gak nyaman tidur. Yah sesuai harga lah...",linen_P1-neg,linen_P1,neg,
"AC NYA KURANG TERASA, KAMAR BOCOR, PETUGASNYA KURANG SIGAP DALAM PELAYANAN,KAMAR MANDI KURANG BERSIH  ",ac_P1-neg,ac_P1,neg,
"AC NYA KURANG TERASA, KAMAR BOCOR, PETUGASNYA KURANG SIGAP DALAM PELAYANAN,KAMAR MANDI KURANG BERSIH  ",service-neg,service,neg,
"AC NYA KURANG TERASA, KAMAR BOCOR, PETUGASNYA KURANG SIGAP DALAM PELAYANAN,KAMAR MANDI KURANG BERSIH  ",kebersihan-neg,kebersihan,neg,
"kamar nyaman, cari makan mudah, tp ko sinyal di dalam kamar agak susah ",wifi_p1-neg,wifi_p1,neg,
tolong di tingkatkan kamar mandi nya,kebersihan-neg,kebersihan,neg,
"saat cek in kamar blm siap, handuk & perlengkapan mandi belum ada.. water heater tidak ada.. fasilitas hotel yang lain cukup ok",linen_P1-neg,linen_P1,neg,
"saat cek in kamar blm siap, handuk & perlengkapan mandi belum ada.. water heater tidak ada.. fasilitas hotel yang lain cukup ok",air_panas_P1-neg,air_panas_P1,neg,
"satpamnya ramah dan sigap, wifinya kenceng, selain snack airy set ada tambahan coklat silverqueen. tp receptionisnya ga ramah, payah banget kayak keteteran gitu, kerjanya super manual, dan penampilannya kayak emak-emak habis beberes rumah seharian",wifi_P1-pos,wifi_P1,pos,
"satpamnya ramah dan sigap, wifinya kenceng, selain snack airy set ada tambahan coklat silverqueen. tp receptionisnya ga ramah, payah banget kayak keteteran gitu, kerjanya super manual, dan penampilannya kayak emak-emak habis beberes rumah seharian",linen_P1-pos,linen_P1,pos,
"satpamnya ramah dan sigap, wifinya kenceng, selain snack airy set ada tambahan coklat silverqueen. tp receptionisnya ga ramah, payah banget kayak keteteran gitu, kerjanya super manual, dan penampilannya kayak emak-emak habis beberes rumah seharian",service-neg,service,neg,
g ada air panas nya ,air_panas_P1-neg,air_panas_P1,neg,
Toilet kurang bersih dan bagus. Kamarnya pun agak bau dan pengap,kebersihan-neg,kebersihan,neg,
Toilet kurang bersih dan bagus. Kamarnya pun agak bau dan pengap,bau_P1-neg,bau_P1,neg,
Hot shower tidak bisa. Selebihnya baik.,air_panas_P1-neg,air_panas_P1,neg,
Hot shower tidak bisa. Selebihnya baik.,general-pos,general,pos,
Kurang sopan,service-neg,service,neg,
"cukup memuaskan,hanya tv yg agak mengecewakan",tv_P1-neg,tv_P1,neg,
"petugas ramah, fasilitas lumayan lengkap. kebersihan kurang begitu baik. perlu lebih teliti lagi. ",service-pos,service,pos,
"petugas ramah, fasilitas lumayan lengkap. kebersihan kurang begitu baik. perlu lebih teliti lagi. ",kebersihan-neg,kebersihan,neg,
handuk kumal kamar mandi kurang bersih tisu di kamar tidak ada,linen_P1-neg,linen_P1,neg,
handuk kumal kamar mandi kurang bersih tisu di kamar tidak ada,kebersihan-neg,kebersihan,neg,
"Tempatnya secara keseluruhan baik, rapi, bersih. Hanya hot shower tak tersedia",kebersihan-pos,kebersihan,pos,
