review,category_sentiment,category,sentiment
"Kamar lumayan bersih, meski ada beberapa berdebu tapi masi cukup nyaman. Air hangat, ac dingin, wifi cepat, karyawan sedikit kurang ramah, menginap beberapa hari, harusnya setiap hari diganti snack atau mnawarkan handuk baru",wifi_P1-pos,wifi_P1,pos
"Kamar lumayan bersih, meski ada beberapa berdebu tapi masi cukup nyaman. Air hangat, ac dingin, wifi cepat, karyawan sedikit kurang ramah, menginap beberapa hari, harusnya setiap hari diganti snack atau mnawarkan handuk baru",service-neg,service,neg
air panasnya lama banget baru bisa panas yg di kamar 318,air_panas_P1-neg,air_panas_P1,neg
"Minus air panas, ac kurang dingin, tidak ada kran buat wudhu. But afterall its ok, suasananya nyaman tanpa ada suara kendaraan, dan tidak bising.",air_panas_P1-neg,air_panas_P1,neg
"Minus air panas, ac kurang dingin, tidak ada kran buat wudhu. But afterall its ok, suasananya nyaman tanpa ada suara kendaraan, dan tidak bising.",ac_P1-neg,ac_P1,neg
"Minus air panas, ac kurang dingin, tidak ada kran buat wudhu. But afterall its ok, suasananya nyaman tanpa ada suara kendaraan, dan tidak bising.",general-pos,general,pos
"(grand deluxe lt.dasar) kamar luas, toilet luas (walau aroma kurang enak kalau pertama dibuka), air ",bau_P1-neg,bau_P1,neg
hotel d area persawahan bagus buat yg mau cari ketenangan.. fasilitas lengkap.. tp masih kotor dan banyak kerak dan debu d kamar n kamar mandi saya coba maklumi karna sedang ada renovasi,kebersihan-neg,kebersihan,neg
"kamarnya nyaman tp di lantai2 ga kena wifi, dan sedikit kurang friendly. breakfastnya enak. yang double recommeded kalo ada wifinya",wifi_P1-neg,wifi_P1,neg
"kamarnya nyaman tp di lantai2 ga kena wifi, dan sedikit kurang friendly. breakfastnya enak. yang double recommeded kalo ada wifinya",service-neg,service,neg
"kamarnya nyaman tp di lantai2 ga kena wifi, dan sedikit kurang friendly. breakfastnya enak. yang double recommeded kalo ada wifinya",sunrise_meal_P1-pos,sunrise_meal_P1,pos
"kamar lumayan besar,tp sayang tidak ada keset kamar mandinya,dan airnya kecil,serta ac kurang dingin. tolong di perbaiki agar costumer puas,trima kasih.",linen_P1-neg,linen_P1,neg
"kamar lumayan besar,tp sayang tidak ada keset kamar mandinya,dan airnya kecil,serta ac kurang dingin. tolong di perbaiki agar costumer puas,trima kasih.",ac_P1-neg,ac_P1,neg
"tolong untuk spreinya gnti, karna byk lubng2 bekas rokok, dan sediakn kastok baju serta petunjuk arah kiblatnya",linen_P1-neg,linen_P1,neg
tilet kurang bersih,kebersihan-neg,kebersihan,neg
"Di lantai 1 hotel tidak ada sinyal sama sekali, saya pake 2 kartu operator yg beda. Wi-fi hotel juga tidak menjangkau lantai 1. Shower di kamar mandi rusak, kamar juga kurang bersih (ada puntung rokok di sela kamar tidur dan dinding",wifi_P1-neg,wifi_P1,neg
"Di lantai 1 hotel tidak ada sinyal sama sekali, saya pake 2 kartu operator yg beda. Wi-fi hotel juga tidak menjangkau lantai 1. Shower di kamar mandi rusak, kamar juga kurang bersih (ada puntung rokok di sela kamar tidur dan dinding",kebersihan-neg,kebersihan,neg
"Hotelnya sebenarnya bagus, luas, bentuknya tiap kamar kaya bungalow sendiri2 gitu, kolam renang di blakang jg bersih hijau adem kaya digambar. tp manajemennya kaya masih baru msh berantakan. kamar masih blm siap pas jam check-in nunggu hampir sejam, sprei sama kamar mandi kotor. complimentary airy box good ada minum, alat mandi, free snacks banyak",service-neg,service,neg
"Hotelnya sebenarnya bagus, luas, bentuknya tiap kamar kaya bungalow sendiri2 gitu, kolam renang di blakang jg bersih hijau adem kaya digambar. tp manajemennya kaya masih baru msh berantakan. kamar masih blm siap pas jam check-in nunggu hampir sejam, sprei sama kamar mandi kotor. complimentary airy box good ada minum, alat mandi, free snacks banyak",kebersihan-neg,kebersihan,neg
"Hotelnya sebenarnya bagus, luas, bentuknya tiap kamar kaya bungalow sendiri2 gitu, kolam renang di blakang jg bersih hijau adem kaya digambar. tp manajemennya kaya masih baru msh berantakan. kamar masih blm siap pas jam check-in nunggu hampir sejam, sprei sama kamar mandi kotor. complimentary airy box good ada minum, alat mandi, free snacks banyak",linen_P1-pos,linen_P1,pos
pelayanan buruk.. diketerangan receptionist 24 jam..  tapi tidak bisa check in malam jam 12 an..  nomor yang bisa dihubungi langsung tidak aktif,service-neg,service,neg
"air kmar mandi nya agak kuning & berbau,  d'kmar tidur nya jg kaya bau tai kucing.... ",bau_P1-neg,bau_P1,neg
"biasa aja, kamar kurang bersih",kebersihan-neg,kebersihan,neg
"Selimut dan bantal bau seperti belum dicuci, masih ada rambut bertebaran di bantal",bau_P1-neg,bau_P1,neg
"Selimut dan bantal bau seperti belum dicuci, masih ada rambut bertebaran di bantal",kebersihan-neg,kebersihan,neg
"air panas kecil,makanannya ala kadarnya dan tidak sesuai dengan tarif hotel kalau cuma itu saja",air_panas_P1-neg,air_panas_P1,neg
"air panas kecil,makanannya ala kadarnya dan tidak sesuai dengan tarif hotel kalau cuma itu saja",sunrise_meal_P1-neg,sunrise_meal_P1,neg
"secara keseluruhan bagus , tapi kamar mandi kotor lalu kran berkerak agak bocor di atap kamar mandi .kasur nyaman dan okelah untuk beristirahat.",general-pos,general,pos
"secara keseluruhan bagus , tapi kamar mandi kotor lalu kran berkerak agak bocor di atap kamar mandi .kasur nyaman dan okelah untuk beristirahat.",kebersihan-neg,kebersihan,neg
Nyaman dan strategis.. cm kmar mandi kurang bersih... semoga lbh baik lagi. Thx airy,kebersihan-neg,kebersihan,neg
Kamar 219 kecepatan koneksi wifinya buruk. Harus didepan pintu baru bagus,wifi_P1-neg,wifi_P1,neg
nyaman tempatnya cuman sayang air panas nya tdk bisa. untuk keseluruhan ok lah. ,air_panas_P1-neg,air_panas_P1,neg
tidak ada cemilannya dan ruangannya tidak ada jendela,linen_P1-neg,linen_P1,neg
air panasnya kurang hmmm sama wifi gak nyampe :((,air_panas_P1-neg,air_panas_P1,neg
air panasnya kurang hmmm sama wifi gak nyampe :((,wifi_P1-neg,wifi_P1,neg
"Kebersihan kamar lebih ditingkatkan ya, di sekitar kusen jendela kotor banget. Seperti tidak pernah ",kebersihan-neg,kebersihan,neg
"Bagus, nyaman, hanya saja di wc-nya bocor",kebersihan-neg,kebersihan,neg
pelayanan ramah. harga terjangkau dan kamar bersih. namun belum ada free wifi,service-pos,service,pos
pelayanan ramah. harga terjangkau dan kamar bersih. namun belum ada free wifi,kebersihan-pos,kebersihan,pos
pelayanan ramah. harga terjangkau dan kamar bersih. namun belum ada free wifi,wifi_P1-neg,wifi_P1,neg
"air panasnya mati, dan posisi hotelnya agak jauh dari kota",air_panas_P1-neg,air_panas_P1,neg
Kamar nya bauk bantal airy nya bauk banyak nyamuk dkamar mandi ada lipan nya makanan nya boleh lah tapi meja selalu kotor kalo mau breakfast..  kurang pegawai kyknya.. ,bau_P1-neg,bau_P1,neg
Kamar nya bauk bantal airy nya bauk banyak nyamuk dkamar mandi ada lipan nya makanan nya boleh lah tapi meja selalu kotor kalo mau breakfast..  kurang pegawai kyknya.. ,sunrise_meal_P1-pos,sunrise_meal_P1,pos
Kamar nya bauk bantal airy nya bauk banyak nyamuk dkamar mandi ada lipan nya makanan nya boleh lah tapi meja selalu kotor kalo mau breakfast..  kurang pegawai kyknya.. ,kebersihan-neg,kebersihan,neg
"Air hangat di bathroom tidak berfungsi, sudah complain tapi tidak ada solusi, malam dan pagi mandi a",air_panas_P1-neg,air_panas_P1,neg
"Air hangat di bathroom tidak berfungsi, sudah complain tapi tidak ada solusi, malam dan pagi mandi a",service-neg,service,neg
Kloset Kamar mandi kurang bersih..dan air panasnya tidak panas. Bahkan kalau pagi airnya dingin.,kebersihan-neg,kebersihan,neg
Kloset Kamar mandi kurang bersih..dan air panasnya tidak panas. Bahkan kalau pagi airnya dingin.,air_panas_P1-neg,air_panas_P1,neg
"bagus,bersih,sedikit bau aroma kamarnya..",kebersihan-pos,kebersihan,pos
"bagus,bersih,sedikit bau aroma kamarnya..",bau_P1-neg,bau_P1,neg
Memuaskan tapi toilet kurang bersih. Tidak bisa di flush closetnya. Dan handuk hanya satu. Dan hotel,kebersihan-neg,kebersihan,neg
Memuaskan tapi toilet kurang bersih. Tidak bisa di flush closetnya. Dan handuk hanya satu. Dan hotel,linen_P1-neg,linen_P1,neg
strategis. sayang kebersihan tempat tidur kurang. selebihnya sesuai harga,kebersihan-neg,kebersihan,neg
"semua fasilitas sesuai , hanya wifi aja yg kurang bagus , nyaman , bersih , dan ga ribet pokoknya ok deh ",general-pos,general,pos
"semua fasilitas sesuai , hanya wifi aja yg kurang bagus , nyaman , bersih , dan ga ribet pokoknya ok deh ",wifi_P1-neg,wifi_P1,neg
"semua fasilitas sesuai , hanya wifi aja yg kurang bagus , nyaman , bersih , dan ga ribet pokoknya ok deh ",kebersihan-pos,kebersihan,pos
"Pelayanan'ya kurang ramah,  fasilitas kamar mandi tidak lengkap",service-neg,service,neg
"Pelayanan'ya kurang ramah,  fasilitas kamar mandi tidak lengkap",linen_P1-neg,linen_P1,neg
Kebersihan kamar tolong diperhatikan,kebersihan-neg,kebersihan,neg
keseluruhan baik hanya saja ac tidak dingin. air panas kurang terasa. ,general-pos,general,pos
keseluruhan baik hanya saja ac tidak dingin. air panas kurang terasa. ,ac_P1-neg,ac_P1,neg
keseluruhan baik hanya saja ac tidak dingin. air panas kurang terasa. ,air_panas_P1-neg,air_panas_P1,neg
"tempat bersih, rapi, nyaman, sesuai harga lah pokoknya, cuman WiFi di atas gak ada jd mau WiFian harus ke bawah, overall good👌",kebersihan-pos,kebersihan,pos
"tempat bersih, rapi, nyaman, sesuai harga lah pokoknya, cuman WiFi di atas gak ada jd mau WiFian harus ke bawah, overall good👌",air_panas_P1-neg,air_panas_P1,neg
"tempat bersih, rapi, nyaman, sesuai harga lah pokoknya, cuman WiFi di atas gak ada jd mau WiFian harus ke bawah, overall good👌",general-pos,general,pos
"breakfast enak, tempat bagus, tapi saat tidur tiba2 ada orang yg membuka pintu kamar padahal saya sedang tidur dan kamar dikunci. entah itu tamu lain atau petugas .mohon diperhatikan lagi .",sunrise_meal_P1-pos,sunrise_meal_P1,pos
"breakfast enak, tempat bagus, tapi saat tidur tiba2 ada orang yg membuka pintu kamar padahal saya sedang tidur dan kamar dikunci. entah itu tamu lain atau petugas .mohon diperhatikan lagi .",service-neg,service,neg
"kali ini, kurang memuaskan untuk kamarnya.. pintu kamar susah di kunci, untuk seprei kasur masa banyak bolong2",linen_P1-neg,linen_P1,neg
KEKURANGAN DR HTL AIRY TAMAN MULIA : KMR MANDI KOTOR N BBRP PINTU KMR-MANDI TDK BISA DIKUNCI ALIAS R,kebersihan-neg,kebersihan,neg
"hotelnya bagus, makanan cukup, wifi kurang merata",sunrise_meal_P1-pos,sunrise_meal_P1,pos
"hotelnya bagus, makanan cukup, wifi kurang merata",wifi_P1-neg,wifi_P1,neg
nyaman tapi lantai terasa lembab dan basah,kebersihan-neg,kebersihan,neg
Tempat bagus dan besar tapi kebersihan kirang karena banyak rambut di bantal,kebersihan-neg,kebersihan,neg
Wifi nya nda aktif,wifi_P1-neg,wifi_P1,neg
"parah... pesan 2 kamar, 1 kamarnya tidak ada perlengkapan airy belum di siapkan, karena tidak terdetect kalau pesan 2 kamar... kamar bau apek... not recomended lah",service-neg,service,neg
"parah... pesan 2 kamar, 1 kamarnya tidak ada perlengkapan airy belum di siapkan, karena tidak terdetect kalau pesan 2 kamar... kamar bau apek... not recomended lah",linen_P1-neg,linen_P1,neg
"parah... pesan 2 kamar, 1 kamarnya tidak ada perlengkapan airy belum di siapkan, karena tidak terdetect kalau pesan 2 kamar... kamar bau apek... not recomended lah",bau_P1-neg,bau_P1,neg
Tempat nyaman dan strategis dgn tmpt wisata jatim park 2 dan BNS. Air panas nya kadang gak nyala dan saat sy menginap sedang ada renovasi jd agak berisik. Tp overall baik.,air_panas_P1-neg,air_panas_P1,neg
Tempat nyaman dan strategis dgn tmpt wisata jatim park 2 dan BNS. Air panas nya kadang gak nyala dan saat sy menginap sedang ada renovasi jd agak berisik. Tp overall baik.,general-pos,general,pos
"resepsionis nggak ramah,gak ada senyum.,handuk nggak dikasih,,di janji kan mau diantar,,tp sampa check out,,mana handuk nya?? water  heater mati,,lantai debuan.. hadeeuuhh..",service-neg,service,neg
"resepsionis nggak ramah,gak ada senyum.,handuk nggak dikasih,,di janji kan mau diantar,,tp sampa check out,,mana handuk nya?? water  heater mati,,lantai debuan.. hadeeuuhh..",linen_P1-neg,linen_P1,neg
"resepsionis nggak ramah,gak ada senyum.,handuk nggak dikasih,,di janji kan mau diantar,,tp sampa check out,,mana handuk nya?? water  heater mati,,lantai debuan.. hadeeuuhh..",air_panas_P1-neg,air_panas_P1,neg
"resepsionis nggak ramah,gak ada senyum.,handuk nggak dikasih,,di janji kan mau diantar,,tp sampa check out,,mana handuk nya?? water  heater mati,,lantai debuan.. hadeeuuhh..",kebersihan-neg,kebersihan,neg
kamar bersih namun air panas tidak teesedia,kebersihan-pos,kebersihan,pos
kamar bersih namun air panas tidak teesedia,air_panas_P1-neg,air_panas_P1,neg
"Cukup luas kamarnyaa,,  hanya kamar mandi mungkin yng kurang bersihh.trimakasih airy",kebersihan-neg,kebersihan,neg
"Parkiran sempit ,  wifi lemot,  jaringan gada sinyal, breakfast cuma 2 opsi mie goreng dan nasi goreng itupun udah dibungkus pake wadah kecil,  dingin dan anyep rasanya =(",wifi_P1-neg,wifi_P1,neg
"Parkiran sempit ,  wifi lemot,  jaringan gada sinyal, breakfast cuma 2 opsi mie goreng dan nasi goreng itupun udah dibungkus pake wadah kecil,  dingin dan anyep rasanya =(",sunrise_meal_P1-neg,sunrise_meal_P1,neg
suka banget sama kamarnya bersih banget air Snack lengkap tapi sayang tv tidak satelit tapi gpp all good😘,kebersihan-pos,kebersihan,pos
suka banget sama kamarnya bersih banget air Snack lengkap tapi sayang tv tidak satelit tapi gpp all good😘,linen_P1-pos,linen_P1,pos
suka banget sama kamarnya bersih banget air Snack lengkap tapi sayang tv tidak satelit tapi gpp all good😘,tv_P1-neg,tv_P1,neg
But air kamar mandi a bit smelly,bau_P1-neg,bau_P1,neg
Cukup bersih meski tanpa sarapan. Wifi & TV perlu pembenahan krn tdk jalan,kebersihan-pos,kebersihan,pos
Cukup bersih meski tanpa sarapan. Wifi & TV perlu pembenahan krn tdk jalan,sunrise_meal_P1-neg,sunrise_meal_P1,neg
Cukup bersih meski tanpa sarapan. Wifi & TV perlu pembenahan krn tdk jalan,wifi_P1-neg,wifi_P1,neg
Cukup bersih meski tanpa sarapan. Wifi & TV perlu pembenahan krn tdk jalan,tv_P1-neg,tv_P1,neg
"Lokasi d gang sempit, susah dtemui. Datang awal, tdk bisa early check in, hrs nambah fee, hrs tgu smpk jm14. Ruang tunggu pengap, bau rokok. Kamar kurang bersih, byk byk sekali kecoa, byk debu. Lgsg check out stlh liat kamar spt itu.",service-neg,service,neg
"Lokasi d gang sempit, susah dtemui. Datang awal, tdk bisa early check in, hrs nambah fee, hrs tgu smpk jm14. Ruang tunggu pengap, bau rokok. Kamar kurang bersih, byk byk sekali kecoa, byk debu. Lgsg check out stlh liat kamar spt itu.",bau_P1-neg,bau_P1,neg
"Lokasi d gang sempit, susah dtemui. Datang awal, tdk bisa early check in, hrs nambah fee, hrs tgu smpk jm14. Ruang tunggu pengap, bau rokok. Kamar kurang bersih, byk byk sekali kecoa, byk debu. Lgsg check out stlh liat kamar spt itu.",kebersihan-neg,kebersihan,neg
"kamar bocor,  air panas ga nyalah,  ac tidak dingin, ",air_panas_P1-neg,air_panas_P1,neg
"kamar bocor,  air panas ga nyalah,  ac tidak dingin, ",ac_P1-neg,ac_P1,neg
kondisi kamar mandi kurang bagus serta airnya agak lengket. mungkin karena bangunan lama. Mohon ditingkatkan lagi kebersihan kamarnya. selebihnya oke. terima kasih,kebersihan-neg,kebersihan,neg
Ada beberapa yang harus ditingkatkan lagi seperti TV. Hanya bisa menonton beberapa channel bagus dan,tv_P1-neg,tv_P1,neg
"Untuk harga yg sangat terjangkau, fasilitasnya melebihi ekspektasi. Kamar luas, dingin. Sayangnya water heater sdg dibenerin dan kasur agak keras. Cuma utk harga segini, sangat sangat ok!!!",air_panas_P1-neg,air_panas_P1,neg
"Untuk harga yg sangat terjangkau, fasilitasnya melebihi ekspektasi. Kamar luas, dingin. Sayangnya water heater sdg dibenerin dan kasur agak keras. Cuma utk harga segini, sangat sangat ok!!!",general-pos,general,pos
"kamar luas, ada restoran, kolam renang, & layanan kamar, sayangnya: kamar kotor & lembab.  lingkungan sekitar kotor, kamar mandi kotor. air kecil & berbau. lokasi kamar ke parkiran cukup jauh seharusnya itu mobil golf stand by terus untuk antar jemput tamu. yang sulit pas check out harus angkat barang sendiri. jalan jg gak friendly bwt gerek koper.",kebersihan-neg,kebersihan,neg
"kamar luas, ada restoran, kolam renang, & layanan kamar, sayangnya: kamar kotor & lembab.  lingkungan sekitar kotor, kamar mandi kotor. air kecil & berbau. lokasi kamar ke parkiran cukup jauh seharusnya itu mobil golf stand by terus untuk antar jemput tamu. yang sulit pas check out harus angkat barang sendiri. jalan jg gak friendly bwt gerek koper.",bau_P1-neg,bau_P1,neg
"kamar luas, ada restoran, kolam renang, & layanan kamar, sayangnya: kamar kotor & lembab.  lingkungan sekitar kotor, kamar mandi kotor. air kecil & berbau. lokasi kamar ke parkiran cukup jauh seharusnya itu mobil golf stand by terus untuk antar jemput tamu. yang sulit pas check out harus angkat barang sendiri. jalan jg gak friendly bwt gerek koper.",service-neg,service,neg
Kebersihan ditingkatkan lagi,kebersihan-neg,kebersihan,neg
AC di kamar nomer 10 ngga dingin,ac_P1-neg,ac_P1,neg
AC TIDAK DINGIN!! KAMAR KOTOR DAN BANYAK NYAMUK.. AIR PANAS TIDAK NYALA. TV SEBAGAI PAJANGAN AJA YA??,ac_P1-neg,ac_P1,neg
AC TIDAK DINGIN!! KAMAR KOTOR DAN BANYAK NYAMUK.. AIR PANAS TIDAK NYALA. TV SEBAGAI PAJANGAN AJA YA??,kebersihan-neg,kebersihan,neg
AC TIDAK DINGIN!! KAMAR KOTOR DAN BANYAK NYAMUK.. AIR PANAS TIDAK NYALA. TV SEBAGAI PAJANGAN AJA YA??,air_panas_P1-neg,air_panas_P1,neg
AC TIDAK DINGIN!! KAMAR KOTOR DAN BANYAK NYAMUK.. AIR PANAS TIDAK NYALA. TV SEBAGAI PAJANGAN AJA YA??,tv_P1-neg,tv_P1,neg
"bau toilet menyengat, sampai tercium saat tidur. ",bau_P1-neg,bau_P1,neg
"secara umum bagus, cuma sprei, sarung bantal dan handuk tidak layak...maaf..",linen_P1-neg,linen_P1,neg
"secara umum bagus, cuma sprei, sarung bantal dan handuk tidak layak...maaf..",general-pos,general,pos
"ga ada handuk, kamar berjamur, bau tidak sedap, sprei juga kurang bersih. alhasil begitu cek in langsung cabut cari airy lain.",linen_P1-neg,linen_P1,neg
"ga ada handuk, kamar berjamur, bau tidak sedap, sprei juga kurang bersih. alhasil begitu cek in langsung cabut cari airy lain.",kebersihan-neg,kebersihan,neg
"ga ada handuk, kamar berjamur, bau tidak sedap, sprei juga kurang bersih. alhasil begitu cek in langsung cabut cari airy lain.",bau_P1-neg,bau_P1,neg
"yg perlu diperbaiki itu WIFI lantai 2, sering disconnect.. jadi suka lag kalo lg main Mobile Legends ",wifi_P1-neg,wifi_P1,neg
"air kamar mandi kotor, ac tidak dingin, seprai kotor, kamar berbau",ac_P1-neg,ac_P1,neg
"air kamar mandi kotor, ac tidak dingin, seprai kotor, kamar berbau",linen_P1-neg,linen_P1,neg
"air kamar mandi kotor, ac tidak dingin, seprai kotor, kamar berbau",kebersihan-neg,kebersihan,neg
"air kamar mandi kotor, ac tidak dingin, seprai kotor, kamar berbau",bau_P1-neg,bau_P1,neg
"Kamarnya wangi karbol yg sangat menyengat, saya curiga freon yang bocor. Tolong diperhatikan agar tidak sampai ada yg keracunan. Terimakasih #101",bau_P1-neg,bau_P1,neg
"Kamarnya wangi karbol yg sangat menyengat, saya curiga freon yang bocor. Tolong diperhatikan agar tidak sampai ada yg keracunan. Terimakasih #101",ac_P1-neg,ac_P1,neg
Kamar Mandi Krg Bersih. Lemari Pakaian Tidak Layak. Selebihnya Masih Ok.,kebersihan-neg,kebersihan,neg
Kamar Mandi Krg Bersih. Lemari Pakaian Tidak Layak. Selebihnya Masih Ok.,general-pos,general,pos
AC tidak dingin,ac_P1-neg,ac_P1,neg
"Fasilitas oke, namun kebersihan kurang, kamar verpasir",kebersihan-neg,kebersihan,neg
langit langit kamar mandi bocor perlu perbaikan. wifi tdk terjangkau. kayu pada pintu dan jendela sdh sip dgn air jadi aroma kamar jadi lembab. binatang spt semut pemakan kayu sering muncul dan mrk besar besar. sy mungkin akan cari tempat lain bila ke bali lagi.,wifi_P1-neg,wifi_P1,neg
langit langit kamar mandi bocor perlu perbaikan. wifi tdk terjangkau. kayu pada pintu dan jendela sdh sip dgn air jadi aroma kamar jadi lembab. binatang spt semut pemakan kayu sering muncul dan mrk besar besar. sy mungkin akan cari tempat lain bila ke bali lagi.,bau_P1-neg,bau_P1,neg
langit langit kamar mandi bocor perlu perbaikan. wifi tdk terjangkau. kayu pada pintu dan jendela sdh sip dgn air jadi aroma kamar jadi lembab. binatang spt semut pemakan kayu sering muncul dan mrk besar besar. sy mungkin akan cari tempat lain bila ke bali lagi.,kebersihan-neg,kebersihan,neg
"Berisik, suara dari luar or kamar sebelah terdengar jelas. Kamar mandi nya juga kotor, agak bercorak",kebersihan-neg,kebersihan,neg
"Kamar tidak sama gambar di foto,  air shower panas mati.  ",air_panas_P1-neg,air_panas_P1,neg
"Not recommended, kamar lembab pengap, kamar mandi kotor, shower rusak, mati lampu tdk ada genset, staff kurang ramah",bau_P1-neg,bau_P1,neg
"Not recommended, kamar lembab pengap, kamar mandi kotor, shower rusak, mati lampu tdk ada genset, staff kurang ramah",kebersihan-neg,kebersihan,neg
"Not recommended, kamar lembab pengap, kamar mandi kotor, shower rusak, mati lampu tdk ada genset, staff kurang ramah",service-neg,service,neg
"tidak sesuai gambar , kamar sempit , selimut bau , kamar bau tak sedap , ",bau_P1-neg,bau_P1,neg
"tidak sesuai gambar , kamar sempit , selimut bau , kamar bau tak sedap , ",linen_P1-neg,linen_P1,neg
pelayanan nya kurang baik . tempat nya udah oke bagus bersih ..,service-neg,service,neg
pelayanan nya kurang baik . tempat nya udah oke bagus bersih ..,kebersihan-pos,kebersihan,pos
"Kamar mandi lembab,  exhaust/vacuum di kamar mandi tidak berfungsi sehingga handuk dan kain lainnya berbau apek. Pelayanan ramah Sarapannya tidak enak Kebersihan kamar kurang baik Dengan reputasi dan room rate sekian, menurut saya mengecewakan",kebersihan-neg,kebersihan,neg
"Kamar mandi lembab,  exhaust/vacuum di kamar mandi tidak berfungsi sehingga handuk dan kain lainnya berbau apek. Pelayanan ramah Sarapannya tidak enak Kebersihan kamar kurang baik Dengan reputasi dan room rate sekian, menurut saya mengecewakan",bau_P1-neg,bau_P1,neg
"Kamar mandi lembab,  exhaust/vacuum di kamar mandi tidak berfungsi sehingga handuk dan kain lainnya berbau apek. Pelayanan ramah Sarapannya tidak enak Kebersihan kamar kurang baik Dengan reputasi dan room rate sekian, menurut saya mengecewakan",service-pos,service,pos
"Kamar mandi lembab,  exhaust/vacuum di kamar mandi tidak berfungsi sehingga handuk dan kain lainnya berbau apek. Pelayanan ramah Sarapannya tidak enak Kebersihan kamar kurang baik Dengan reputasi dan room rate sekian, menurut saya mengecewakan",sunrise_meal_P1-neg,sunrise_meal_P1,neg
"Kamar mandi lembab,  exhaust/vacuum di kamar mandi tidak berfungsi sehingga handuk dan kain lainnya berbau apek. Pelayanan ramah Sarapannya tidak enak Kebersihan kamar kurang baik Dengan reputasi dan room rate sekian, menurut saya mengecewakan",general-neg,general,neg
"bangunan tua, pelayanan kurang baik, mengecewakan",service-neg,service,neg
bantal bau,linen_P1-neg,linen_P1,neg
"Untuk kamar sebenarnya bagus , namun kebersihan kurang. Seperti sprey selimut warna kusam dan kotor (sperti tidak di ganti) ",kebersihan-neg,kebersihan,neg
"Untuk kamar sebenarnya bagus , namun kebersihan kurang. Seperti sprey selimut warna kusam dan kotor (sperti tidak di ganti) ",linen_P1-neg,linen_P1,neg
"Sprei sm sarung bantal nggak diganti, air bau, kamar gak ada jendela",linen_P1-neg,linen_P1,neg
"Sprei sm sarung bantal nggak diganti, air bau, kamar gak ada jendela",bau_P1-neg,bau_P1,neg
AC kurang dingin,ac_P1-neg,ac_P1,neg
air panasnya tidak stabil,air_panas_P1-neg,air_panas_P1,neg
"AC tidak panas,  dinding kamar ada rembesan bocor air jd kamar lembab dan penerangannya kamar tdk terang tapi remang remang",ac_P1-pos,ac_P1,pos
"AC tidak panas,  dinding kamar ada rembesan bocor air jd kamar lembab dan penerangannya kamar tdk terang tapi remang remang",bau_P1-neg,bau_P1,neg
Air panasnya kadang mati sendiri tapi kamarnya sangat baik,air_panas_P1-neg,air_panas_P1,neg
"tempat oke nyaman ,bagus semuanya , cuma pelayannya kurang, minta password wifi ga di kasih .alasan ",service-neg,service,neg
Kamar mandi bau Kasurnya kurang bersih Lokasi strategis dekat dengan farmhouse,bau_P1-neg,bau_P1,neg
Kamar mandi bau Kasurnya kurang bersih Lokasi strategis dekat dengan farmhouse,kebersihan-neg,kebersihan,neg
"wifi di lantai 3, sedang dlm perbaikan.mohon secepatnya bisa selesai.harapan kami, ketika kembali menginap wifi sdah bisa digunakan.terimakasih",wifi_P1-neg,wifi_P1,neg
air panas sering tidak mengalir,air_panas_P1-neg,air_panas_P1,neg
banyak nyamuk dan kmr bau apek no wifi at room lt.2,bau_P1-neg,bau_P1,neg
banyak nyamuk dan kmr bau apek no wifi at room lt.2,wifi_P1-neg,wifi_P1,neg
"kebersihan selimut kurang,  air panas kadang muncul kadang berhenti. Saya beri penilaian 5/10.",linen_P1-neg,linen_P1,neg
"kebersihan selimut kurang,  air panas kadang muncul kadang berhenti. Saya beri penilaian 5/10.",air_panas_P1-neg,air_panas_P1,neg
hot shower tidak berfungsi,air_panas_P1-neg,air_panas_P1,neg
"nyaman, bersih, oke.. tapi sayang ga dapat snack box nya.. pesen 2 kamr, dua2nya ga d kasih snack box nya.. padahal sdh konfirm k pihak cs hotel.. tp cuma d suruh tunggu ajja, sampai pulang ga datang2..",kebersihan-pos,kebersihan,pos
"nyaman, bersih, oke.. tapi sayang ga dapat snack box nya.. pesen 2 kamr, dua2nya ga d kasih snack box nya.. padahal sdh konfirm k pihak cs hotel.. tp cuma d suruh tunggu ajja, sampai pulang ga datang2..",linen_P1-neg,linen_P1,neg
"nyaman, bersih, oke.. tapi sayang ga dapat snack box nya.. pesen 2 kamr, dua2nya ga d kasih snack box nya.. padahal sdh konfirm k pihak cs hotel.. tp cuma d suruh tunggu ajja, sampai pulang ga datang2..",service-neg,service,neg
"overall oke, hanya AC kurang dingin, banyak cat sudab lapuk perlu cat ulang, pegawai ramah Deket  kemana mana",general-pos,general,pos
"overall oke, hanya AC kurang dingin, banyak cat sudab lapuk perlu cat ulang, pegawai ramah Deket  kemana mana",ac_P1-neg,ac_P1,neg
"overall oke, hanya AC kurang dingin, banyak cat sudab lapuk perlu cat ulang, pegawai ramah Deket  kemana mana",service-pos,service,pos
"Pintu kamar mandi ngga bisa ditutup karena rusak, kamar keadaan kotor kaya belom disapu, sprei juga ga bersih. AC juga ga dingin. Resepsionis yang cewe kurang ramah.",kebersihan-neg,kebersihan,neg
"Pintu kamar mandi ngga bisa ditutup karena rusak, kamar keadaan kotor kaya belom disapu, sprei juga ga bersih. AC juga ga dingin. Resepsionis yang cewe kurang ramah.",linen_P1-neg,linen_P1,neg
